health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Itebero,Nord-Kivu,1,FALSE,0.003,0.0023,0.0037,0.0029,112,112,113,0.003,0.3085,112,0.0051,NA,NA,0.0622,19,NA,NA,0.5574,0.0105,82,0.9112,0.722,0,0.5965,0,Bayes-M10-med
Kaziba,Sud-Kivu,1,FALSE,0.003,0.0023,0.0037,0.0029,113,112,114,0.003,0.3079,113,0.0051,NA,NA,NA,NA,NA,NA,0.3571,0.0067,106,0.2876,0.7838,0,0.3571,0,Bayes-M10-med
Kipushi,Haut-Katanga,1,FALSE,0.0029,0.0022,0.0036,0.0029,117,115,119,0.0029,0.3004,117,0.005,NA,NA,NA,NA,NA,NA,0.1216,0.0022,211,0.2703,0.1081,0,0.1081,0,Bayes-M10-med
Tshamilemba,Haut-Katanga,1,FALSE,0.0029,0.0022,0.0036,0.0029,119,117,122,0.0029,0.2988,119,0.0049,NA,NA,NA,NA,NA,NA,0.0772,0.0014,270,0.0656,0.1255,0,0.1178,0,Bayes-M10-med
Biyela,Kinshasa,1,FALSE,0.0029,0.0022,0.0036,0.0029,118,116,120,0.0029,0.2994,118,0.005,NA,NA,NA,NA,NA,NA,0.1076,0.002,226,0.0637,0.2838,0,0.083,0,Bayes-M10-med
Kitutu,Sud-Kivu,1,FALSE,0.0029,0.0022,0.0036,0.0028,120,118,120,0.0029,0.2976,120,0.0049,NA,NA,NA,NA,NA,NA,0.5024,0.0092,93,0.751,0.805,0,0.4537,0,Bayes-M10-med
Shabunda,Sud-Kivu,1,FALSE,0.0029,0.0022,0.0037,0.0029,116,115,119,0.0029,0.3014,115,0.005,NA,NA,NA,NA,NA,NA,0.5922,0.0109,81,0.8378,0.8726,0,0.6583,0,Bayes-M10-med
Yahisuli,Tshopo,1,FALSE,0.0029,0.0022,0.0037,0.0029,117,115,119,0.0029,0.3013,116,0.005,NA,NA,NA,NA,NA,NA,0.3521,0.0065,108,0.3842,0.0714,0,0.9527,0,Bayes-M10-med
Mbandaka,Equateur,1,FALSE,0.0028,0.0021,0.0035,0.0027,124,123,124,0.0028,0.2869,124,0.0048,NA,NA,NA,NA,NA,NA,0.5164,0.0091,94,0.6409,0.9633,0,0.4614,0,Bayes-M10-med
Kimbanseke,Kinshasa,1,FALSE,0.0028,0.0022,0.0035,0.0028,121,121,123,0.0028,0.2932,121,0.0049,NA,NA,NA,NA,NA,NA,0.0526,9e-4,332,0.0521,0.0849,0,0.0734,0,Bayes-M10-med
Maluku 2,Kinshasa,1,FALSE,0.0028,0.0021,0.0035,0.0027,125,124,125,0.0028,0.2859,125,0.0047,NA,NA,NA,NA,NA,NA,0.4184,0.0073,101,0.6834,0.5463,0,0.444,0,Bayes-M10-med
Lolo,Mongala,1,FALSE,0.0028,0.0021,0.0036,0.0027,123,112,131,0.0028,0.2884,123,0.0048,NA,NA,NA,NA,NA,NA,0.3161,0.0056,119,0.4073,0.3263,0,0.5309,0,Bayes-M10-med
Kimbi Lulenge,Sud-Kivu,1,FALSE,0.0028,0.0022,0.0036,0.0028,122,121,122,0.0028,0.2925,122,0.0048,NA,NA,NA,NA,NA,NA,0.5507,0.0099,87,0.8475,0.8687,0,0.4865,0,Bayes-M10-med
Bonzola,Kasaï-Oriental,1,FALSE,0.0027,0.002,0.0033,0.0026,127,126,128,0.0027,0.2747,127,0.0046,NA,NA,NA,NA,NA,NA,0.2958,0.005,125,0.0927,0.7934,0,0.2973,0,Bayes-M10-med
Bumbu,Kinshasa,1,FALSE,0.0027,0.0021,0.0033,0.0026,126,125,129,0.0027,0.2762,126,0.0046,NA,NA,NA,NA,NA,NA,0.0164,3e-4,433,0.0019,0.029,0,0.0347,0,Bayes-M10-med
Mwenga,Sud-Kivu,1,FALSE,0.0027,0.002,0.0033,0.0026,127,126,128,0.0027,0.2746,128,0.0045,NA,NA,NA,NA,NA,NA,0.319,0.0054,121,0.5,0.3552,0,0.4208,0,Bayes-M10-med
Ngaba,Kinshasa,1,FALSE,0.0026,0.002,0.0033,0.0026,129,126,130,0.0026,0.2712,129,0.0045,NA,NA,NA,NA,NA,NA,0.014,2e-4,440,0,0.0058,0,0.0502,0,Bayes-M10-med
Kalole,Sud-Kivu,1,FALSE,0.0026,0.002,0.0033,0.0026,130,128,130,0.0026,0.27,130,0.0045,NA,NA,NA,NA,NA,NA,0.6038,0.01,85,0.89,0.7799,0,0.7452,0,Bayes-M10-med
Kamituga,Sud-Kivu,1,FALSE,0.0025,0.0019,0.0032,0.0025,132,132,132,0.0025,0.2604,132,0.0043,NA,NA,NA,NA,NA,NA,0.3596,0.0057,114,0.3938,0.6062,0,0.4382,0,Bayes-M10-med
Mulungu,Sud-Kivu,1,FALSE,0.0025,0.0019,0.0032,0.0025,133,133,133,0.0025,0.2595,133,0.0043,NA,NA,NA,NA,NA,NA,0.5208,0.0083,98,0.861,0.5193,0,0.7027,0,Bayes-M10-med
Opala,Tshopo,1,FALSE,0.0025,0.002,0.0032,0.0025,131,130,131,0.0025,0.2635,131,0.0044,NA,NA,NA,NA,NA,NA,0.4269,0.0069,102,0.7819,0.0792,0,0.8465,0,Bayes-M10-med
Mbulula,Tanganyika,1,FALSE,0.0025,0.0019,0.0031,0.0024,134,134,135,0.0025,0.2547,134,0.0042,NA,NA,NA,NA,NA,NA,0.5934,0.0093,90,0.6448,0.7761,0,0.9527,0,Bayes-M10-med
Ango,Bas-Uele,1,FALSE,0.0023,0.0017,0.003,0.0023,137,134,140,0.0023,0.2388,137,0.004,NA,NA,NA,NA,NA,NA,0.7095,0.0104,83,1,0.8591,0,0.9788,0,Bayes-M10-med
Yambuku,Mongala,1,FALSE,0.0023,0.0018,0.003,0.0023,136,135,136,0.0023,0.2415,135,0.004,NA,NA,NA,NA,NA,NA,0.4344,0.0064,109,0.5483,0.5753,0,0.6139,0,Bayes-M10-med
Kabalo,Tanganyika,1,FALSE,0.0023,0.0018,0.0029,0.0023,136,135,137,0.0023,0.2399,136,0.004,NA,NA,NA,NA,NA,NA,0.624,0.0092,92,0.9035,0.7568,0,0.8359,0,Bayes-M10-med
Kampene,Maniema,1,FALSE,0.0022,0.0017,0.0028,0.0022,139,138,140,0.0022,0.2291,140,0.0038,NA,NA,NA,NA,NA,NA,0.3962,0.0056,120,0.5251,0.1757,0,0.8842,0,Bayes-M10-med
Kalima,Maniema,1,FALSE,0.0022,0.0017,0.0028,0.0022,138,137,138,0.0023,0.2329,138,0.0039,NA,NA,NA,NA,NA,NA,0.3094,0.0044,133,0.4595,0.3205,0,0.4575,0,Bayes-M10-med
Punia,Maniema,1,FALSE,0.0022,0.0017,0.0028,0.0022,140,138,140,0.0022,0.2291,139,0.0038,NA,NA,NA,NA,NA,NA,0.3731,0.0052,122,0.7625,0.1969,0,0.5328,0,Bayes-M10-med
Kasansa,Kasaï-Oriental,1,FALSE,0.0021,0.0016,0.0026,0.002,142,142,144,0.0021,0.2136,142,0.0035,NA,NA,NA,NA,NA,NA,0.3349,0.0044,134,0.2568,0.6699,0,0.4131,0,Bayes-M10-med
Nyunzu,Tanganyika,1,FALSE,0.0021,0.0016,0.0026,0.0021,141,141,142,0.0021,0.2166,141,0.0036,NA,NA,NA,NA,NA,NA,0.6023,0.008,99,0.9653,0.834,0,0.61,0,Bayes-M10-med
Bondo,Bas-Uele,1,FALSE,0.002,0.0015,0.0025,0.0019,145,143,152,0.002,0.2032,145,0.0034,NA,NA,NA,NA,NA,NA,0.6737,0.0084,97,0.9961,0.9981,0,0.7008,0,Bayes-M10-med
Kananga,Kasaï-Central,1,FALSE,0.002,0.0015,0.0025,0.002,144,143,145,0.002,0.2058,144,0.0034,NA,NA,NA,NA,NA,NA,0.2963,0.0037,145,0.1429,0.5579,0,0.4846,0,Bayes-M10-med
Mulumba,Lomami,1,FALSE,0.002,0.0015,0.0025,0.0019,146,144,146,0.002,0.2019,146,0.0033,NA,NA,NA,NA,NA,NA,0.2587,0.0032,158,0.1834,0.3108,0,0.5405,0,Bayes-M10-med
Bumba,Mongala,1,FALSE,0.002,0.0015,0.0026,0.002,143,141,145,0.002,0.2105,143,0.0035,NA,NA,NA,NA,NA,NA,0.2384,0.0031,168,0.1409,0.4537,0,0.3591,0,Bayes-M10-med
Nzaba,Kasaï-Oriental,1,FALSE,0.0019,0.0015,0.0024,0.0019,148,147,148,0.0019,0.1952,148,0.0032,NA,NA,NA,NA,NA,NA,0.278,0.0033,153,0.1042,0.6931,0,0.3147,0,Bayes-M10-med
Lusangi,Maniema,1,FALSE,0.0019,0.0015,0.0024,0.0019,149,148,149,0.0019,0.1948,149,0.0032,NA,NA,NA,NA,NA,NA,0.4223,0.005,124,0.5656,0.2645,0,0.8591,0,Bayes-M10-med
Lodja,Sankuru,1,FALSE,0.0019,0.0015,0.0024,0.0019,147,146,147,0.0019,0.2003,147,0.0033,NA,NA,NA,NA,NA,NA,0.4626,0.0057,115,0.2625,0.6351,0,0.9527,0,Bayes-M10-med
Lulingu,Sud-Kivu,1,FALSE,0.0019,0.0014,0.0024,0.0019,150,149,150,0.0019,0.1945,150,0.0032,NA,NA,NA,NA,NA,NA,0.6158,0.0073,100,0.9093,0.8108,0,0.7432,0,Bayes-M10-med
Lingomo,Tshuapa,1,FALSE,0.0019,0.0014,0.0023,0.0018,152,151,152,0.0019,0.1915,152,0.0032,NA,NA,NA,NA,NA,NA,0.5627,0.0066,107,0.8263,0.5869,0,0.8378,0,Bayes-M10-med
Manono,Tanganyika,1,FALSE,0.0019,0.0014,0.0023,0.0018,151,151,152,0.0019,0.1918,151,0.0032,NA,NA,NA,NA,NA,NA,0.5758,0.0068,103,0.8784,0.9537,0,0.471,0,Bayes-M10-med
Tshilenge,Kasaï-Oriental,1,FALSE,0.0018,0.0014,0.0023,0.0018,153,153,153,0.0018,0.187,153,0.0031,NA,NA,NA,NA,NA,NA,0.2799,0.0032,157,0.1892,0.668,0,0.2625,0,Bayes-M10-med
Kailo,Maniema,1,FALSE,0.0018,0.0014,0.0022,0.0017,155,154,155,0.0018,0.1819,155,0.003,NA,NA,NA,NA,NA,NA,0.4276,0.0048,127,0.832,0.0946,0,0.7838,0,Bayes-M10-med
Samba,Maniema,1,FALSE,0.0018,0.0014,0.0022,0.0017,154,154,155,0.0018,0.1821,154,0.003,NA,NA,NA,NA,NA,NA,0.5179,0.0058,112,0.7529,0.4344,0,0.8842,0,Bayes-M10-med
Haut Plateau,Sud-Kivu,1,FALSE,0.0017,0.0013,0.0022,0.0017,156,156,156,0.0017,0.1794,156,0.003,NA,NA,NA,NA,NA,NA,0.5246,0.0058,113,0.5714,0.5444,0,0.9826,0,Bayes-M10-med
Minembwe,Sud-Kivu,1,FALSE,0.0017,0.0013,0.0021,0.0017,158,158,158,0.0017,0.1757,158,0.0029,NA,NA,NA,NA,NA,NA,0.5198,0.0056,118,0.7181,0.8089,0,0.5521,0,Bayes-M10-med
Moba,Tanganyika,1,FALSE,0.0017,0.0013,0.0021,0.0017,157,157,157,0.0017,0.1765,157,0.0029,NA,NA,NA,NA,NA,NA,0.3808,0.0041,136,0.6178,0.4942,0,0.4112,0,Bayes-M10-med
Kabongo,Haut-Lomami,1,FALSE,0.0016,0.0013,0.0021,0.0016,161,161,161,0.0016,0.1703,161,0.0028,NA,NA,NA,NA,NA,NA,0.5372,0.0056,116,0.8108,0.778,0,0.5598,0,Bayes-M10-med
Luputa,Lomami,1,FALSE,0.0016,0.0013,0.0021,0.0016,159,159,159,0.0016,0.1706,159,0.0028,NA,NA,NA,NA,NA,NA,0.3431,0.0036,146,0.3301,0.3166,0,0.7259,0,Bayes-M10-med
Mweneditu,Lomami,1,FALSE,0.0016,0.0013,0.0021,0.0016,160,160,160,0.0016,0.1703,160,0.0028,NA,NA,NA,NA,NA,NA,0.2799,0.0029,175,0.166,0.3842,0,0.5695,0,Bayes-M10-med
Yalimbongo,Tshopo,1,FALSE,0.0016,0.0012,0.002,0.0015,163,163,163,0.0016,0.1609,163,0.0027,NA,NA,NA,NA,NA,NA,0.3214,0.0032,161,0.5772,0.0483,0,0.6602,0,Bayes-M10-med
Ikela,Tshuapa,1,FALSE,0.0016,0.0012,0.002,0.0016,162,162,162,0.0016,0.1664,162,0.0028,NA,NA,NA,NA,NA,NA,0.4633,0.0047,128,0.8147,0.1795,0,0.8591,0,Bayes-M10-med
Kabeya Kamwanga,Kasaï-Oriental,1,FALSE,0.0015,0.0011,0.0018,0.0014,165,165,166,0.0015,0.151,165,0.0025,NA,NA,NA,NA,NA,NA,0.2968,0.0027,184,0.3224,0.3919,0,0.473,0,Bayes-M10-med
Lubao,Lomami,1,FALSE,0.0015,0.0012,0.0019,0.0015,164,164,165,0.0015,0.1557,164,0.0026,NA,NA,NA,NA,NA,NA,0.3982,0.0038,142,0.6486,0.1525,0,0.7915,0,Bayes-M10-med
Likati,Bas-Uele,1,FALSE,0.0014,0.001,0.0018,0.0013,169,164,180,0.0014,0.1404,169,0.0023,NA,NA,NA,NA,NA,NA,0.7124,0.0061,111,0.9942,0.971,0,0.8842,0,Bayes-M10-med
Kamina,Haut-Lomami,1,FALSE,0.0014,0.0011,0.0018,0.0014,166,166,167,0.0014,0.1443,166,0.0024,NA,NA,NA,NA,NA,NA,0.5164,0.0046,131,0.8301,0.8301,0,0.4054,0,Bayes-M10-med
Diulu,Kasaï-Oriental,1,FALSE,0.0014,0.0011,0.0018,0.0014,167,167,168,0.0014,0.1438,167,0.0024,NA,NA,NA,NA,NA,NA,0.2611,0.0023,206,0.0676,0.6448,0,0.332,0,Bayes-M10-med
Obokote,Maniema,1,FALSE,0.0014,0.0011,0.0017,0.0013,168,168,169,0.0014,0.141,168,0.0023,NA,NA,NA,NA,NA,NA,0.3209,0.0028,181,0.7239,0.0328,0,0.527,0,Bayes-M10-med
Malemba Nkulu,Haut-Lomami,1,FALSE,0.0013,0.001,0.0016,0.0013,175,174,177,0.0013,0.1311,175,0.0022,NA,NA,NA,NA,NA,NA,0.3895,0.0031,164,0.36870000000000003,0.7664,0,0.4228,0,Bayes-M10-med
Kaniama,Haut-Lomami,1,FALSE,0.0013,0.001,0.0016,0.0013,176,175,178,0.0013,0.131,176,0.0022,NA,NA,NA,NA,NA,NA,0.582,0.0047,129,0.8533,0.6622,0,0.8127,0,Bayes-M10-med
Kitenge,Haut-Lomami,1,FALSE,0.0013,0.001,0.0017,0.0013,171,170,171,0.0013,0.1389,171,0.0023,NA,NA,NA,NA,NA,NA,0.5729,0.0049,126,0.8668,0.8069,0,0.6178,0,Bayes-M10-med
Citenge,Kasaï-Oriental,1,FALSE,0.0013,0.001,0.0016,0.0012,177,176,179,0.0013,0.1297,177,0.0022,NA,NA,NA,NA,NA,NA,0.2321,0.0018,239,0.1583,0.4749,0,0.2954,0,Bayes-M10-med
Lukelenge,Kasaï-Oriental,1,FALSE,0.0013,0.001,0.0017,0.0013,170,169,170,0.0013,0.1393,170,0.0023,NA,NA,NA,NA,NA,NA,0.2249,0.0019,231,0.0811,0.5,0,0.3185,0,Bayes-M10-med
Ngandajika,Lomami,1,FALSE,0.0013,0.001,0.0016,0.0013,174,173,176,0.0013,0.1312,174,0.0022,NA,NA,NA,NA,NA,NA,0.3465,0.0028,180,0.2124,0.4459,0,0.7278,0,Bayes-M10-med
Kabambare,Maniema,1,FALSE,0.0013,0.001,0.0017,0.0013,172,171,172,0.0013,0.1357,172,0.0022,NA,NA,NA,NA,NA,NA,0.3953,0.0033,154,0.8359,0.112,0,0.6332,0,Bayes-M10-med
Basali,Tshopo,1,FALSE,0.0013,0.001,0.0016,0.0013,173,172,174,0.0013,0.1329,173,0.0022,NA,NA,NA,NA,NA,NA,0.3779,0.0031,167,0.834,0.0251,0,0.6525,0,Bayes-M10-med
Bili (Bas-Uele),Bas-Uele,1,FALSE,0.0012,9e-4,0.0016,0.0012,186,173,196,0.0012,0.1226,184,0.002,NA,NA,NA,NA,NA,NA,0.6926,0.0052,123,0.9981,0.7992,0,0.973,0,Bayes-M10-med
Kamwesha,Kasaï,1,FALSE,0.0012,9e-4,0.0014,0.0011,189,188,189,0.0012,0.119,189,0.002,NA,NA,NA,NA,NA,NA,0.2732,0.002,223,0.3456,0.2876,0,0.4595,0,Bayes-M10-med
Demba,Kasaï-Central,1,FALSE,0.0012,9e-4,0.0015,0.0012,181,179,183,0.0012,0.1255,181,0.0021,NA,NA,NA,NA,NA,NA,0.4117,0.0032,162,0.4653,0.7143,0,0.4672,0,Bayes-M10-med
Mikalayi,Kasaï-Central,1,FALSE,0.0012,9e-4,0.0015,0.0012,185,182,186,0.0012,0.1225,186,0.002,NA,NA,NA,NA,NA,NA,0.3948,0.003,173,0.4517,0.5811,0,0.5463,0,Bayes-M10-med
Bibanga,Kasaï-Oriental,1,FALSE,0.0012,9e-4,0.0015,0.0012,187,183,187,0.0012,0.1216,187,0.002,NA,NA,NA,NA,NA,NA,0.2978,0.0022,214,0.3127,0.4884,0,0.39,0,Bayes-M10-med
Cilundu,Kasaï-Oriental,1,FALSE,0.0012,9e-4,0.0015,0.0012,182,181,184,0.0012,0.1253,182,0.0021,NA,NA,NA,NA,NA,NA,0.221,0.0017,250,0.2317,0.3089,0,0.3436,0,Bayes-M10-med
Idiofa,Kwilu,1,FALSE,0.0012,9e-4,0.0015,0.0012,180,178,181,0.0012,0.126,180,0.0021,NA,NA,NA,NA,NA,NA,0.486,0.0038,143,0.4537,0.749,0,0.7413,0,Bayes-M10-med
Tshofa,Lomami,1,FALSE,0.0012,0.001,0.0016,0.0012,178,177,180,0.0012,0.1281,178,0.0021,NA,NA,NA,NA,NA,NA,0.4416,0.0035,148,0.6757,0.3514,0,0.7394,0,Bayes-M10-med
Kibombo,Maniema,1,FALSE,0.0012,9e-4,0.0015,0.0012,188,185,188,0.0012,0.1212,188,0.002,NA,NA,NA,NA,NA,NA,0.4614,0.0034,149,0.7452,0.1776,0,0.9228,0,Bayes-M10-med
Yamongili,Mongala,1,FALSE,0.0012,9e-4,0.0016,0.0012,179,175,185,0.0012,0.1263,179,0.0021,NA,NA,NA,NA,NA,NA,0.3243,0.0025,193,0.5116,0.3668,0,0.4189,0,Bayes-M10-med
Gemena,Sud-Ubangi,1,FALSE,0.0012,9e-4,0.0015,0.0012,185,184,187,0.0012,0.1225,185,0.002,NA,NA,NA,NA,NA,NA,0.3277,0.0025,197,0.1776,0.2741,0,0.8591,0,Bayes-M10-med
Boende,Tshuapa,1,FALSE,0.0012,9e-4,0.0015,0.0012,183,182,184,0.0012,0.124,183,0.0021,NA,NA,NA,NA,NA,NA,0.4199,0.0032,159,0.6988,0.4807,0,0.5,0,Bayes-M10-med
Tshikapa,Kasaï,1,FALSE,0.0011,9e-4,0.0014,0.0011,192,191,192,0.0011,0.1177,192,0.002,NA,NA,NA,NA,NA,NA,0.3156,0.0023,208,0.2722,0.6506,0,0.3398,0,Bayes-M10-med
Lubilanji,Kasaï-Oriental,1,FALSE,0.0011,8e-4,0.0014,0.0011,197,197,197,0.0011,0.111,197,0.0018,NA,NA,NA,NA,NA,NA,0.1694,0.0012,299,0.0347,0.3398,0,0.3031,0,Bayes-M10-med
Ludimbi Lukula,Lomami,1,FALSE,0.0011,9e-4,0.0014,0.0011,190,189,190,0.0011,0.1183,190,0.002,NA,NA,NA,NA,NA,NA,0.4513,0.0033,155,0.6931,0.3475,0,0.7645,0,Bayes-M10-med
Kanda Kanda,Lomami,1,FALSE,0.0011,9e-4,0.0014,0.0011,193,193,194,0.0011,0.1153,193,0.0019,NA,NA,NA,NA,NA,NA,0.3012,0.0021,217,0.3185,0.1737,0,0.7124,0,Bayes-M10-med
Ferekeni,Maniema,1,FALSE,0.0011,9e-4,0.0014,0.0011,195,192,195,0.0011,0.1147,195,0.0019,NA,NA,NA,NA,NA,NA,0.3504,0.0025,195,0.7722,0.0425,0,0.5869,0,Bayes-M10-med
Lowa,Tshopo,1,FALSE,0.0011,8e-4,0.0014,0.0011,196,195,196,0.0011,0.113,196,0.0019,NA,NA,NA,NA,NA,NA,0.4073,0.0028,178,0.8938,0.0598,0,0.6757,0,Bayes-M10-med
Mondombe,Tshuapa,1,FALSE,0.0011,9e-4,0.0014,0.0011,194,193,195,0.0011,0.1153,194,0.0019,NA,NA,NA,NA,NA,NA,0.4797,0.0034,152,0.6622,0.3726,0,0.8842,0,Bayes-M10-med
Kansimba,Tanganyika,1,FALSE,0.0011,9e-4,0.0014,0.0011,191,190,191,0.0011,0.1182,191,0.002,NA,NA,NA,NA,NA,NA,0.5497,0.004,139,0.9479,0.7741,0,0.4768,0,Bayes-M10-med
Luebo,Kasaï,1,FALSE,0.001,8e-4,0.0013,0.001,201,201,201,0.001,0.1066,201,0.0018,NA,NA,NA,NA,NA,NA,0.4353,0.0028,176,0.5232,0.5116,0,0.7066,0,Bayes-M10-med
Mweka,Kasaï,1,FALSE,0.001,7e-4,0.0012,0.001,210,210,211,0.001,0.1,210,0.0017,NA,NA,NA,NA,NA,NA,0.5053,0.0031,165,0.4788,0.7239,0,0.8185,0,Bayes-M10-med
Luiza,Kasaï-Central,1,FALSE,0.001,7e-4,0.0012,0.001,211,211,212,0.001,0.1,211,0.0017,NA,NA,NA,NA,NA,NA,0.4218,0.0026,188,0.4807,0.6293,0,0.5772,0,Bayes-M10-med
Bipemba,Kasaï-Oriental,1,FALSE,0.001,8e-4,0.0013,0.001,205,205,205,0.001,0.103,205,0.0017,NA,NA,NA,NA,NA,NA,0.1544,0.001,328,0.0618,0.2201,0,0.3359,0,Bayes-M10-med
Dibindi,Kasaï-Oriental,1,FALSE,0.001,8e-4,0.0013,0.001,200,200,200,0.001,0.1072,200,0.0018,NA,NA,NA,NA,NA,NA,0.1617,0.0011,317,0.0386,0.2954,0,0.3127,0,Bayes-M10-med
Kansele,Kasaï-Oriental,1,FALSE,0.001,8e-4,0.0012,0.001,207,207,207,0.001,0.101,207,0.0017,NA,NA,NA,NA,NA,NA,0.2437,0.0015,261,0.0541,0.5965,0,0.3243,0,Bayes-M10-med
Miabi,Kasaï-Oriental,1,FALSE,0.001,8e-4,0.0013,0.001,206,206,206,0.001,0.1029,206,0.0017,NA,NA,NA,NA,NA,NA,0.2838,0.0018,242,0.2297,0.6525,0,0.2529,0,Bayes-M10-med
Mpokolo,Kasaï-Oriental,1,FALSE,0.001,7e-4,0.0012,0.001,209,209,209,0.001,0.1003,209,0.0017,NA,NA,NA,NA,NA,NA,0.2901,0.0018,244,0.1255,0.6873,0,0.3475,0,Bayes-M10-med
Muya,Kasaï-Oriental,1,FALSE,0.001,8e-4,0.0013,0.001,202,202,202,0.001,0.1064,202,0.0018,NA,NA,NA,NA,NA,NA,0.2495,0.0016,254,0.0753,0.5888,0,0.334,0,Bayes-M10-med
Tshishimbi,Kasaï-Oriental,1,FALSE,0.001,7e-4,0.0012,0.001,208,208,208,0.001,0.1006,208,0.0017,NA,NA,NA,NA,NA,NA,0.1742,0.0011,314,0.1795,0.2471,0,0.2703,0,Bayes-M10-med
Kalambayi Kabanga,Lomami,1,FALSE,0.001,7e-4,0.0012,0.001,213,212,213,0.001,0.0996,213,0.0017,NA,NA,NA,NA,NA,NA,0.3132,0.0019,232,0.4556,0.1602,0,0.6371,0,Bayes-M10-med
Kamana,Lomami,1,FALSE,0.001,8e-4,0.0013,0.001,199,199,199,0.001,0.10780000000000001,199,0.0018,NA,NA,NA,NA,NA,NA,0.2944,0.0019,228,0.5309,0.0174,0,0.6293,0,Bayes-M10-med
Kalenda,Lomami,1,FALSE,0.001,8e-4,0.0013,0.001,204,204,204,0.001,0.1052,204,0.0017,NA,NA,NA,NA,NA,NA,0.2886,0.0019,238,0.388,0.1873,0,0.5792,0,Bayes-M10-med
Alunguli,Maniema,1,FALSE,0.001,7e-4,0.0012,9e-4,214,214,214,0.001,0.0993,214,0.0016,NA,NA,NA,NA,NA,NA,0.3132,0.0019,234,0.1737,0.195,0,0.8842,0,Bayes-M10-med
Katako Kombe,Sankuru,1,FALSE,0.001,8e-4,0.0013,0.001,203,203,203,0.001,0.1059,203,0.0018,NA,NA,NA,NA,NA,NA,0.4703,0.0031,169,0.7857,0.1313,0,0.9643,0,Bayes-M10-med
Vanga Kete,Sankuru,1,FALSE,0.001,7e-4,0.0012,0.001,212,210,213,0.001,0.0999,212,0.0017,NA,NA,NA,NA,NA,NA,0.4503,0.0028,182,0.4672,0.4112,0,0.9228,0,Bayes-M10-med
Itombwe,Sud-Kivu,1,FALSE,0.001,8e-4,0.0013,0.001,198,198,198,0.001,0.1086,198,0.0018,NA,NA,NA,NA,NA,NA,0.5121,0.0034,150,0.8571,0.6737,0,0.5174,0,Bayes-M10-med
Bukama,Haut-Lomami,1,FALSE,9e-4,7e-4,0.0011,9e-4,222,221,222,9e-4,0.092,222,0.0015,NA,NA,NA,NA,NA,NA,0.4764,0.0027,185,0.7143,0.7625,0,0.4286,0,Bayes-M10-med
Mulongo,Haut-Lomami,1,FALSE,9e-4,7e-4,0.0011,9e-4,223,222,223,9e-4,0.0918,223,0.0015,NA,NA,NA,NA,NA,NA,0.4773,0.0027,186,0.7471,0.7703,0,0.3919,0,Bayes-M10-med
Bena Leka,Kasaï-Central,1,FALSE,9e-4,7e-4,0.0012,9e-4,215,215,215,9e-4,0.0981,215,0.0016,NA,NA,NA,NA,NA,NA,0.4986,0.003,171,0.6062,0.7162,0,0.6718,0,Bayes-M10-med
Masuika,Kasaï-Central,1,FALSE,9e-4,7e-4,0.0012,9e-4,216,216,217,9e-4,0.0969,216,0.0016,NA,NA,NA,NA,NA,NA,0.3885,0.0023,205,0.3263,0.5618,0,0.666,0,Bayes-M10-med
Lusanga,Kwilu,1,FALSE,9e-4,7e-4,0.0011,9e-4,224,224,224,9e-4,0.0914,224,0.0015,NA,NA,NA,NA,NA,NA,0.4242,0.0024,203,0.4382,0.7297,0,0.529,0,Bayes-M10-med
Fungurume,Lualaba,1,FALSE,9e-4,7e-4,0.0011,9e-4,225,225,226,9e-4,0.09,225,0.0015,NA,NA,NA,NA,NA,NA,0.1564,9e-4,342,0.2664,0.1622,0,0.1969,0,Bayes-M10-med
Karawa,Nord-Ubangi,1,FALSE,9e-4,7e-4,0.0011,9e-4,228,225,229,9e-4,0.0891,228,0.0015,NA,NA,NA,NA,NA,NA,0.6404,0.0035,147,0.7568,0.973,0,0.832,0,Bayes-M10-med
Omendjadi,Sankuru,1,FALSE,9e-4,7e-4,0.0011,9e-4,221,221,223,9e-4,0.0922,221,0.0015,NA,NA,NA,NA,NA,NA,0.4262,0.0024,200,0.5502,0.2317,0,0.9228,0,Bayes-M10-med
Dikungu,Sankuru,1,FALSE,9e-4,7e-4,0.0011,9e-4,226,226,227,9e-4,0.0896,226,0.0015,NA,NA,NA,NA,NA,NA,0.3779,0.0021,219,0.4865,0.1409,0,0.8842,0,Bayes-M10-med
Minga,Sankuru,1,FALSE,9e-4,7e-4,0.0011,9e-4,227,227,228,9e-4,0.0892,227,0.0015,NA,NA,NA,NA,NA,NA,0.5347,0.0029,174,0.7838,0.471,0,0.8842,0,Bayes-M10-med
Tshumbe,Sankuru,1,FALSE,9e-4,7e-4,0.0012,9e-4,218,218,219,9e-4,0.0951,218,0.0016,NA,NA,NA,NA,NA,NA,0.3907,0.0023,209,0.5444,0.1718,0,0.8465,0,Bayes-M10-med
