health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Kasongo,Maniema,1,FALSE,0.0088,0.0067,0.0112,0.0088,93,92,94,0.0089,0.7308,93,0.0211,NA,NA,NA,NA,NA,NA,0.5304,0.0259,62,0.4459,0.7529,0,0.9228,0,Bayes-M17-med
Kingasani,Kinshasa,1,FALSE,0.0084,0.0065,0.0105,0.0084,94,93,96,0.0085,0.6973,94,0.0202,NA,NA,NA,NA,NA,NA,0.0294,0.0014,402,0.0058,0.0405,0,0.0714,0,Bayes-M17-med
Yabaondo,Tshopo,1,FALSE,0.0082,0.0062,0.0105,0.0082,95,94,95,0.0083,0.6823,95,0.0197,NA,NA,NA,NA,NA,NA,0.3523,0.0161,79,0.4363,0.305,0,0.668,0,Bayes-M17-med
Basoko,Tshopo,1,FALSE,0.008,0.0061,0.0101,0.0079,96,96,97,0.008,0.6583,96,0.019,NA,NA,NA,NA,NA,NA,0.3012,0.0133,100,0.5077,0.3147,0,0.3822,0,Bayes-M17-med
Shabunda,Sud-Kivu,1,FALSE,0.0079,0.006,0.01,0.0078,98,96,98,0.0079,0.6508,97,0.0188,NA,NA,NA,NA,NA,NA,0.5922,0.0258,64,0.8378,0.8726,0,0.6583,0,Bayes-M17-med
Ubundu,Tshopo,1,FALSE,0.0078,0.0059,0.01,0.0077,98,96,100,0.0078,0.6438,98,0.0186,NA,NA,NA,NA,NA,NA,0.4744,0.0204,73,0.9054,0.4305,0,0.5618,0,Bayes-M17-med
Lubumbashi,Haut-Katanga,1,FALSE,0.0077,0.0059,0.0097,0.0077,99,97,100,0.0077,0.6372,99,0.0184,NA,NA,NA,NA,NA,NA,0.1105,0.0047,207,0.1081,0.2104,0,0.1236,0,Bayes-M17-med
Nundu,Sud-Kivu,1,FALSE,0.0075,0.0057,0.0095,0.0075,101,99,101,0.0075,0.6206,101,0.0179,NA,NA,NA,NA,NA,NA,0.5927,0.0246,68,0.527,0.8494,0,0.9942,0,Bayes-M17-med
Kalemie,Tanganyika,1,FALSE,0.0075,0.0058,0.0096,0.0075,100,99,101,0.0076,0.6249,100,0.0181,NA,NA,NA,NA,NA,NA,0.3789,0.0159,81,0.6718,0.4575,0,0.3861,0,Bayes-M17-med
Kalonge,Sud-Kivu,1,FALSE,0.0068,0.0052,0.0087,0.0068,102,102,103,0.0068,0.5628,102,0.0163,NA,NA,NA,NA,NA,NA,0.404,0.0152,87,0.4961,0.8359,0,0.2838,0,Bayes-M17-med
Kunda,Maniema,1,FALSE,0.0067,0.005,0.0085,0.0066,104,103,105,0.0067,0.5505,104,0.0159,NA,NA,NA,NA,NA,NA,0.4165,0.0154,86,0.4633,0.2799,0,0.9228,0,Bayes-M17-med
Yaleko,Tshopo,1,FALSE,0.0067,0.005,0.0085,0.0066,103,102,106,0.0067,0.5521,103,0.016,NA,NA,NA,NA,NA,NA,0.402,0.0149,93,0.639,0.2452,0,0.7239,0,Bayes-M17-med
Lisala,Mongala,1,FALSE,0.0066,0.005,0.0084,0.0066,105,104,105,0.0066,0.5461,105,0.0158,NA,NA,NA,NA,NA,NA,0.4093,0.015,89,0.4286,0.4402,0,0.7683,0,Bayes-M17-med
Yamaluka,Mongala,1,FALSE,0.0064,0.005,0.008,0.0064,106,103,107,0.0064,0.5303,106,0.0153,NA,NA,NA,NA,NA,NA,0.1974,0.007,140,0.2799,0.1448,0,0.3649,0,Bayes-M17-med
